Symbol,Side,Type,Qty,Filled Qty,Limit Price,Stop Price,Avg Fill Price,Status,Update Time,currency,Fee,Order ID
OVID,Buy,Limit,30,30,2.46,,2.45,Filled,2026-03-18 14:50:58,USD,0.00,03781DMLFC80O0KDRGCG000000
OVID,Sell,Limit,30,30,2.46,,2.46,Filled,2026-03-18 14:56:10,USD,0.01,03781DN8AI80O0KDRGCG000000
OVID,Buy,Limit,30,0,2.44,,,Cancelled,2026-03-18 15:05:09,USD,0.00,03781F3J4K80O0KDR7FC000000
